id,file,segment_id,time,latitude,longitude,elevation_m,speed_kmh,distance_m,is_stop,is_drift,employee
1,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T00:30:00+00:00,31.2304000,121.4737000,4.0,0.00,0.00,0,0,李四
2,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T00:35:00+00:00,31.2450000,121.4550000,4.5,28.89,2407.08,0,0,李四
3,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T00:40:00+00:00,31.2600000,121.4360000,5.0,29.49,2457.89,0,0,李四
4,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T00:45:00+00:00,31.2750000,121.4170000,5.5,29.49,2457.68,0,0,李四
5,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T00:50:00+00:00,31.2900000,121.3980000,6.0,29.49,2457.48,0,0,李四
6,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T00:55:00+00:00,31.3050000,121.3790000,6.5,29.49,2457.27,0,0,李四
7,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:00:00+00:00,31.3200000,121.3600000,7.0,29.48,2457.06,0,0,李四
8,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:05:00+00:00,31.3350000,121.3410000,7.5,29.48,2456.85,0,0,李四
9,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:10:00+00:00,31.3500000,121.3220000,8.0,29.48,2456.64,0,0,李四
10,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:15:00+00:00,31.3650000,121.3030000,8.5,29.48,2456.43,0,0,李四
11,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:20:00+00:00,31.3800000,121.2840000,9.0,29.47,2456.23,0,0,李四
12,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:25:00+00:00,31.3950000,121.2650000,9.5,29.47,2456.02,0,0,李四
13,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:30:00+00:00,31.4100000,121.2460000,10.0,29.47,2455.81,0,0,李四
14,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:35:00+00:00,31.4250000,121.2270000,10.5,29.47,2455.60,0,0,李四
15,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:40:00+00:00,31.4400000,121.2080000,11.0,29.46,2455.39,0,0,李四
16,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:45:00+00:00,31.4550000,121.1890000,11.5,29.46,2455.18,0,0,李四
17,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:50:00+00:00,31.4700000,121.1700000,12.0,29.46,2454.97,0,0,李四
18,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T01:55:00+00:00,31.4850000,121.1510000,12.5,29.46,2454.76,0,0,李四
19,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T02:00:00+00:00,31.5000000,121.1320000,13.0,29.45,2454.55,0,0,李四
20,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T02:05:00+00:00,31.5150000,121.1130000,13.5,29.45,2454.35,0,0,李四
21,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T02:10:00+00:00,31.5300000,121.0940000,14.0,29.45,2454.14,0,0,李四
22,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T02:15:00+00:00,31.5450000,121.0750000,14.5,29.45,2453.93,0,0,李四
23,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T02:20:00+00:00,31.5600000,121.0560000,15.0,29.44,2453.72,0,0,李四
24,lisi_shanghai_suzhou_20260618.gpx,0,2026-06-18T02:25:00+00:00,31.5750000,121.0370000,15.5,29.44,2453.51,0,0,李四
